Рейтинг,Год,Месяц,Источник,Текст отзыва,Автор,Дата_ISO
5.0,2025,6,Google Maps,"понравилось все от видов за окном до вкусной еды в кафе! доброжелюбный персонал, современные и чистые номера
-",Tatyana,2025-06-09T23:59:59+00:00
4.0,2024,7,Google Maps,"Удобное расположение  отеля.
Есть возможность постирать, посушить,погладить вещи
Доброжелательный персонал
В номере нет светильников над кроватью,только верхний свет.Нет ни одной полочки в ванне-некуда положить ванные принадлежности.",Svetlana,2024-07-28T23:59:59+00:00
5.0,2023,7,Google Maps,"Отель находится рядом с соляной Чешет и подъёмником. Так же рядом с началом экологической тропы. Пешком можно дойти и до долины норзанов. Это очень удобно
Номер был просторный с балконом и видом на гору. В это время не сезон и людей было мало. Тишина. Красота. Бельё чистое, убирали номер и меняли полотенца каждый день. Ванна с горячей горной, чистой водой каждый день одно наслаждение. Все работало. Воду можео пить из под крана, так как она чистая и вкусная.
Весь отель симпатичный и чистый. Даже кот Руслан
Сотрудники отеля приятные и внимательные люди, отзывались сразу на любые просьбы
Понравилось все, но есть пожелание включить в завтрак и ужин какие нибудь национальные блюда",Irina,2023-07-16T23:59:59+00:00
4.0,2023,8,Google Maps,"Еда вкусная, сытная и разнообразная. Завтрак обычно из трёх блюд. Каша, творог, яичница. Чай, кофе. Сыр, масло.
Номер замечательный. Сладко спится на удобной кровати под шум горной речки. Не хватает на первый взгляд холодильника и чайника,  быстро решили этот вопрос. Чай, кофе предлагается в столовой в любое время до 23.00. Продукты можно положить в холодильник в столовой
Убирка в номере, мусор выносили не каждый день",Olga,2023-08-29T23:59:59+00:00
5.0,2023,9,Google Maps,"Мы отдыхали в начале сентября 2023г. В отеле Смайл очень доброжелательный персонал - все  отзывчивые улыбчивые и приятные люди. На просьбы реагируют мгновенно. Еда простая, но вкусная - мы брали завтраки (творог, каши, яичница, сыр, масло, блинчики) и ужины (борщ, лапша, гречка с котлетами, пюре с курицей в сливочном соусе и т.д.). Приезжая с долгих пеших маршрутов - это очень удобно поесть в отеле и уснуть после душа, не бродя в поисках еды. Постель меняли нам раз в два дня - очень добрая милая девушка, даже чаевые не брала. Еще при отеле живет ласковый котик Руслан. Вид из окна у нас был - на гору и реку, по утру с горы спускался мужчина с  вереницей красивых лошадей - услада для глаз городского жителя. Горячая вода была в ванной исправно. Нам все понравилось. Всем рекомендую.
-",Aigul,2023-09-21T23:59:59+00:00
5.0,2022,2,Google Maps,"Приезжаем второй сезон и надеемся, что не последний, всё очень нравится. Вкусно кормят, всегда есть выбор из двух блюд. Номера чистые, уборка ежедневная, холодильника нет, телевизор без смарта, ловится 10 каналов. Приятный и вежливый персонал. Большая парковка. Лыжная комната с сушкой. Есть трансфер на Азау. Есть большая детская комната с игрушками. Можно взять на прогулку санки или ледянку",Lev L,2022-02-19T16:17:00+00:00
5.0,2021,9,Google Maps,"Гостиница очень понравилась, тихо, спокойно. Месторасположение очень интересное, все рядом. Пройтись можно не далеко, много разных интересных мест.
Персонал не навязчивый, разговаривают вежливо и всегда идут на встречу. Помогли решить несколько наших просьб без проблем.
Брали люкс с питанием (завтра и ужин). Права выбора блюд нет, но нас в полне устроило, да и для большинства людей подойдёт без проблем. Для привередливых людей лучше не брать питание, а ездить в ближайщее кафе, но только какой в этом смысл, если можно просто спуститься на ЛИФТЕ из номера в тапочках и майке и дойти до столовой в гостинице. Кухне отдельный респект, особенно девочкам-официантам, повар готовит вкусно, все блюда на средний вкус (не соленое и не острое, именно как надо).
В номерах уютно, чисто, тепло. Мебель свежая, аккуратная, выглядит современно. Света в номерах хватает, есть телек. Плохо что нет холодильника в номере, но с другой стороны если вы берете питание, то зачем он нужен.... Единственное что мне не понравилось это дверь в ванную комнату открываемую со скрипом петель, но это мелочи.
Ванна есть, что удивило, обычно просто душ. Все чисто, уборка была каждый день. По нашей просьбе полотенца меняли тоже каждый день.
В целом очень понравился отель, приеду и буду рекомендовать.
Хочу пожелать отелю обустройства территории, место то хорошее, сзади река течет, заводь какую то делают. Лавки и беседки поставить и можно сидеть мидетировать или прогуливаться.
Всего хорошего и развития бизнеса.",Александр Kharlamov,2021-09-10T19:43:25+00:00
3.0,2021,8,Google Maps,"Оплата за проживание только наличными
и документов об оплате не выдают. Уборка номера -как придется, однажлы даже мусор не выносили. Обещали менять белье на 4-е  сутки, но обманули. В номере совсем не уютно. Нет ни холодидьника ни ламп на тумбочках, ни картин на стенах. На потолке светильник технического освещения. Завтрак без выбора, персонал в столовой не успевает подавать еду и убирать со  стола. Рейтинг отеля на букинге (9.1) не соответствует действительности, а отзывы явно вымышленные.
Из плюсов: есть стоянка, в цену проживания входят завтрак и ужин.
Вернуться суда вновь -желания нет!",Павел Я.,2021-08-28T21:06:28+00:00
5.0,2021,2,Google Maps,"Отличное месторасполодение, не вдоль трассы. До поляны Чегет пешком 10 минут, если нужно прогуляться после ужина. До поляны Азау по расписанию ходит трансфер. Номер стандарт двухместный небольшой, теплый, есть шикарный балкончик с видом на сосновый лес. В отеле есть лифт, что очень важно для тех, кто катает весь день, есть сушилка для лыж и бордов, детская комната, холл с диванами, вайфай, удин и завтра входит в стоимость номера. Завтрак и ужин вкусные по-домашнему, сотрудники вежлиаве и отзывчивые. Однозначно вернемся сюда еще.",Марина Чубинидзе,2021-02-01T17:53:49+00:00
5.0,2021,5,Google Maps,"Отдыхали в этом отеле 5 дней в мае. Понравилось абсолютно все! Сам отель ухоженный, везде чисто и опрятно. В номере уютно, мебель в отличном состоянии, санузел - отлично. Есть ванная! Это было большим удивлением и приятным сюрпризом, т.к. после долгих восхождений или прогулок приятно полежать в горячей воде. К стати, вода в отеле из родника\местной скважины. Пить можно ее из под крана без всякой фильтрации. Пили и не раз, реально вкус как из родника и чистая! Набрали в ванную, ни грамма желтизны или чего-то в воде (каких либо примесей), в городе у себя набираешь воду в ванную - она с желтизной. В общем вода супер тут! ||Очень удобное расположение отеля - в шаговой доступности Поляна Нарзанов. По экотропе медленным шагом мы доходили за час (2,8км). До поляны Чегет около 500-600 м через мост. До поляны Азау около 3-3,5км. Медленным шагом доходили за полтора часа по экотропе любуясь красотами. По всем экотропам стоят беседки для отдыха, лавочки, туалеты и т.п. Недалеко от отеля есть ряд достопримечательностей, которые так же в шаговой доступности.||Еда. Тут полный восторг. Огромное спасибо повару. Огромное спасибо работнице ресторана Лере за прекрасное обслуживание. У нас были завтраки и ужины. На завтрак вкусная рисовая или пшенная каша, кофе, хворост как моя бабушка пекла), пышки со сметаной или сгущенкой, яичница. На ужин ели супы, борщ, салаты, тушеное мясо с гарниром, жаренная курица, рыба, компоты, чай. Все было очень вкусно. С балкона у нас был прекрасный вид на гору и реку Терскол, которая протекает за отелем. С другой стороны отеля через дорогу - река Баксан. Обычно я пишу отзывы и выделяю и плюсы и минусы. В этом случае я не увидел ни одного минуса пока отдыхали в этом отеле. Администрации отеля большое спасибо за отзывчивость, помощь в решении разного рода вопросов и прекрасное обращение со своими гостями. ||Досуг - мы особо его не искали, для нас главное было отдых на природе и отвлечься от шумного города и суеты. Но в отеле есть детская комната, вроде бильярд имеется, но мы туда не ходили, WiFi порадовал - 40Мб/сек. Отличная скорость.||Всем советую отдыхать в этом отеле и вероятность того, что в следующий раз когда мы соберемся на отдых в Приэльбрусье, мы остановимся именно в Смайле=100%!",DeniTornado,2021-05-24T23:59:59+00:00
